math score,reading score,writing score,pass,gender_female,gender_male,race/ethnicity_group A,race/ethnicity_group B,race/ethnicity_group C,race/ethnicity_group D,race/ethnicity_group E,parental level of education_associate's degree,parental level of education_bachelor's degree,parental level of education_high school,parental level of education_master's degree,parental level of education_some college,parental level of education_some high school,lunch_free/reduced,lunch_standard,test preparation course_completed,test preparation course_none
72,72,74,1,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True
69,90,88,1,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
90,95,93,1,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
47,57,44,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
76,78,75,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
71,83,78,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
88,95,92,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False
40,43,39,0,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True
64,64,67,1,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
38,60,50,0,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True
58,54,52,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
40,52,43,0,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
65,81,73,1,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
78,72,70,1,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False
50,53,58,1,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True
69,75,78,1,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True
88,89,86,1,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
18,32,28,0,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True
46,42,46,0,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
54,58,61,1,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True
66,69,63,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
65,75,70,1,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False
44,54,53,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
69,73,73,1,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True
74,71,80,1,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False
73,74,72,1,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
69,54,55,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
67,69,75,1,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True
70,70,65,1,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
62,70,75,1,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True
69,74,74,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
63,65,61,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
56,72,65,1,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
40,42,38,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
97,87,82,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
81,81,79,1,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False
74,81,83,1,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
50,64,59,1,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True
75,90,88,1,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False
57,56,57,1,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
55,61,54,1,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True
58,73,68,1,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
53,58,65,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
59,65,66,1,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False
50,56,54,1,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True
65,54,57,1,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
55,65,62,1,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False
66,71,76,1,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
57,74,76,1,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False
82,84,82,1,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False
53,55,48,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
77,69,68,1,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False
53,44,42,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
88,78,75,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
71,84,87,1,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False
33,41,43,0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True
82,85,86,1,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False
52,55,49,1,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
58,59,58,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
0,17,10,0,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True
79,74,72,1,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False
39,39,34,0,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True
62,61,55,1,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
69,80,71,1,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
59,58,59,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
67,64,61,1,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True
45,37,37,0,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True
60,72,74,1,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
61,58,56,1,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
39,64,57,1,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
58,63,73,1,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False
63,55,63,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
41,51,48,0,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
61,57,56,1,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True
49,49,41,0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True
44,41,38,0,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
30,26,22,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True
80,78,81,1,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False
61,74,72,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False
62,68,68,1,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True
47,49,50,0,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
49,45,45,0,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True
50,47,54,1,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False
72,64,63,1,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True
42,39,34,0,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
73,80,82,1,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
76,83,88,1,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True
71,71,74,1,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
58,70,67,1,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True
73,86,82,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
65,72,74,1,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True
27,34,36,0,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True
71,79,71,1,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
43,45,50,0,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False
79,86,92,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
78,81,82,1,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False
65,66,62,1,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False
63,72,70,1,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
58,67,62,1,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
